text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@rosasgvs Muy buen, la mejoría es muy evidente.
Hoy es el último día de tratamiento contra la influenza. Ya anda en… https://t.co/5C4QcKbFhZ",FALSE,1,rosasgvs,2019-03-08T20:12:02Z,TRUE,1104110750732378113,1104112560104706048,1150895226,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sraFulgencia,0,FALSE,FALSE,NA,NA
my last 2 brain cells when i summoned them to take a midterm while suffering from the literal influenza https://t.co/KHFH7R6wX5,FALSE,7,NA,2019-03-08T20:11:00Z,FALSE,NA,1104112298778640384,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",amyazin_,0,FALSE,FALSE,NA,NA
"@jeancasi_ Influenza: a
Seu organismo: https://t.co/3NOC8CsSFj",FALSE,0,jeancasi_,2019-03-08T20:09:22Z,FALSE,1104111262189977600,1104111889955598338,880113474017406980,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dmoura_f,0,FALSE,FALSE,NA,NA
"A small-molecule fusion inhibitor of #influenza virus is orally active in mice
The compound mimics the binding and… https://t.co/KDiW75gDuH",FALSE,0,NA,2019-03-08T20:08:31Z,TRUE,NA,1104111676075458561,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ISARICAR,0,FALSE,FALSE,NA,NA
U.S. Government Pays Out Millions to Flu Shot Victims Killed or Paralyzed by Influenza Vaccine https://t.co/rFBKvQv6mA,FALSE,0,NA,2019-03-08T20:08:27Z,FALSE,NA,1104111660099264512,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Nightime1,0,FALSE,FALSE,NA,NA
"@therealkuri Well, look at the number of RNs that go without influenza vaccination, and you can see a problem there.",FALSE,0,therealkuri,2019-03-08T20:08:16Z,FALSE,1104111284914515968,1104111610589720576,166700386,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hangingoninquie,0,FALSE,FALSE,NA,NA
"E lei fa ma tanto non è più famoso che se ne va 
MA SI PUÒ CAZZO? MA SI PUÒ ESSERE COSÌ IGNORANTI 
Se una persona p… https://t.co/kHMaM8TCsg",FALSE,0,NA,2019-03-08T20:07:52Z,TRUE,NA,1104111510677262337,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BeatriceManci13,0,FALSE,FALSE,NA,NA
@annanealemusic Legacy of my influenza...?,FALSE,0,annanealemusic,2019-03-08T20:06:52Z,FALSE,1104103975341752323,1104111262320021505,20132290,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Scooby_Who,0,FALSE,FALSE,NA,NA
My ex used to make me go to the er and tell them we needed a pic of me in a wheelchair for a school project when in… https://t.co/OKTDclskPS,FALSE,0,NA,2019-03-08T20:05:48Z,TRUE,NA,1104110990885572608,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mackenzie_knish,0,FALSE,FALSE,NA,NA
CASTELLI CALEPIO – Benini e l’influenza: “Consiglio? forse ad aprile”. Clementina Belotti paga le spese legali. La… https://t.co/9ePDE9xZZr,FALSE,0,NA,2019-03-08T20:04:11Z,TRUE,NA,1104110582935052288,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",teresacapitanio,0,FALSE,FALSE,NA,NA
"@chaosJETZT @Chris_Zwitscher Kenne. &lt;3

Influenza. Schwere virale Lungenentzündung, beatmungspflichtig, Pneumothora… https://t.co/Y0z8n0o5Aj",FALSE,4,chaosJETZT,2019-03-08T20:02:51Z,TRUE,1104054022728835072,1104110249601044481,761286983347994624,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",missmegaphon,0,FALSE,FALSE,NA,NA
"英会話表現

We will run the risk of catching new influenza. 

日本語訳

私たちは新型インフルエンザにかかる恐れが十分にある。",FALSE,0,NA,2019-03-08T20:02:31Z,FALSE,NA,1104110163575791616,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",keepenglish1,0,FALSE,FALSE,NA,NA
"インフルエンザの予防と対策について【初心者講座～上級者講座】

https://t.co/qTec2BFZGG",FALSE,0,NA,2019-03-08T20:01:00Z,FALSE,NA,1104109785287290880,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",tsubasahayashi2,0,FALSE,FALSE,NA,NA
"@FURIACEC Mi dispiace ammetterlo, ma anche l'età influenza.",FALSE,1,FURIACEC,2019-03-08T20:00:52Z,FALSE,1104109028152696832,1104109749061279744,930472747058319361,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",c_kira80,0,FALSE,FALSE,NA,NA
